"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"hcfz","Cafe Cheeno","Pakistani","4","(500+)","Islamabad"
"jvq5","Marwat Restaurant","Pakistani","3.3","(11)","Islamabad"
"ef9c","DAMN! Burgers - G 11","American","3.2","(100+)","Islamabad"
"so5v","Cheezzy Pizza Time","Fast Food","3.5","(64)","Islamabad"
"ds1i","Crispy Planet - G11","American","4.2","(41)","Islamabad"
"kbej","Jackson's Fried Chicken - G 11","American","2.8","(87)","Islamabad"
"jru4","BFG LOUNGE","Fast Food","5","(1)","Islamabad"
"drks","Hamid's Kitchen","Pakistani","4.4","(100+)","Islamabad"
"f3aj","Quetta Nizam Cafe","Fast Food","3.8","(10)","Islamabad"
"sf73","Azizi Zaiqa","Pakistani","2.9","(13)","Islamabad"
"nwpz","SavvySpoonfuls","Continental","4.4","(22)","Islamabad"
"f465","Mehria Murgh Pulao- Blue Area","Pulao","4.4","(100+)","Islamabad"
"e1sq","Mehria Murgh Pulao","Pulao","4.3","(2000+)","Islamabad"
"v3mc","Bubbles' Delight","Desserts","4.6","(100+)","Islamabad"
"e27n","De'Italian Affairs Restaurant & Pizzeria","Pizza","4","(92)","Islamabad"
"x6wv","Zesty Burrito","American","4.1","(100+)","Islamabad"
"f6vi","Boom Boom Red N Spicy","Pakistani","3.5","(100+)","Islamabad"
"ku6k","JUICE TANK","Ice Cream","2.4","(6)","Islamabad"
"w7xp","Dil Se Desi","Pakistani","3.9","(500+)","Islamabad"
"g0vk","Mishal Kitchen's","Pakistani","4.5","(100+)","Islamabad"
"ihqw","Biryani by Rewayat","Pakistani","3.5","(60)","Islamabad"
"xvdu","Afghan Marina Restaurant","Pakistani","4","(100+)","Islamabad"
"g618","Yangtze","Chinese","4.2","(100+)","Islamabad"
"z74y","Cravings classic","Desserts","4","(11)","Islamabad"
"t5fn","Feast","Pasta","3.9","(100+)","Islamabad"
"v6lt","Secret Sky","Pasta","3","(91)","Islamabad"
"gmzb","Chef Next Door","Pakistani","4.4","(9)","Islamabad"
"n4co","Brothers Afghani Naan Center Pakistani Roti","Pakistani","4.4","(3000+)","Islamabad"
"y0ub","Kitchen Cuisine-F-10 Markaz","Cakes & Bakery","2.9","(10)","Islamabad"
"v3ch","Broast Hub - F-10","Fast Food","3.8","(500+)","Islamabad"
"owv1","Quetta Shandar Hotel","Pakistani","1","(1)","Islamabad"
"plg8","Crusteez Donuts - F-10","Desserts","4.6","(1000+)","Islamabad"
"gawg","Naan Stop","Pakistani","4.5","(100+)","Islamabad"
"s1dq","Al-Beirut Lebanese Cuisine","50 min","4.3","(3000+)","Islamabad"
"b9ja","Hashi- Pan Asian Cuisine","Chinese","4.1","(100+)","Islamabad"
"bil0","Sugar Craft","Desserts","2.3","(38)","Islamabad"
"cj7y","Samz Patisserie","Fast Food","4.9","(29)","Islamabad"
"kc2o","Bread & Olive","0 min","3.5","(100+)","Islamabad"
"i1cu","Mantu House","0 min","4.2","(500+)","Islamabad"
"eco5","Al Forno","Pasta","4.5","(28)","Islamabad"
"ocbm","Brothers Afghani Nan Center & Melma Dost Chapli Kabab","Pakistani","4.3","(3000+)","Islamabad"
"u7jb","Juice Land F-10","Beverages","4.5","(10000+)","Islamabad"
"u9ki","Lebanese Night","Continental","4.1","(500+)","Islamabad"
"n4bf","Lahori Daal Chawal","Pakistani","4","(500+)","Islamabad"
"hmdg","Brothers Afghani Naan Center and Pakistani Roti","Pakistani","4.2","(100+)","Islamabad"
"jkd0","The Hungry Camper","Fast Food","2.7","(8)","Islamabad"
"t5hr","Zaika Des Des Ka","Pakistani","4.3","(1000+)","Islamabad"
"w45n","Szechuan Chinese Kitchen","Chinese","4","(100+)","Islamabad"
"hu1t","Kitchen Deli","Burgers","4.3","(100+)","Islamabad"
"f6y7","Hot buns","Fast Food","4","(500+)","Islamabad"
"n8my","New Haji Restaurant - Since 1988 (F10 Markaz)","Pakistani","3.8","(1000+)","Islamabad"
"x060","Student Biryani - F10","Pakistani","3.9","(100+)","Islamabad"
"s6qk","Incantare Cafe & Grill","Pasta","3.8","(1000+)","Islamabad"
"y0gl","Ramak","Pakistani","3.8","(500+)","Islamabad"
"d37k","Mirchi 360 F-10","Pakistani","4.1","(1000+)","Islamabad"
"hra6","PITA - The Shawarma Revolution - F-10","Fast Food","4.1","(1000+)","Islamabad"
"u9b7","Khoraak Khaana","Pakistani","3.7","(18)","Islamabad"
"s7ro","Take Away 1 Boom Boom","Pasta","4.3","(5000+)","Islamabad"
"gcnw","Kuk Ru Ku","Beverages","3.9","(55)","Islamabad"
"gsle","Mid Town Pizza - F 10","Pizza","4","(44)","Islamabad"
"dax3","Abid Chatkhara - F-10","Pakistani","3.3","(97)","Islamabad"
"wwde","Silver Oaks NetCafe","Fast Food","4","(100+)","Islamabad"
"w9zx","Italian Pizza - F-10","Pizza","3.6","(1000+)","Islamabad"
"zrk4","Cheese Stick","Fast Food","4.9","(46)","Islamabad"
"ke3d","Peshawar Shinwari","Pakistani","4.2","(22)","Islamabad"
"j3w7","Khabbay Ki Sajji - F-10","Pakistani","4","(83)","Islamabad"
"t1zk","Najeeb Spot","Fast Food","3.8","(10000+)","Islamabad"
"p7mn","Quetta Arslan Student Cafe","Pakistani","4","(12)","Islamabad"
"n5el","Hyderabadi Chatkhara","Savouries","4.1","(1000+)","Islamabad"
"zvgo","Cheno Meno","Fast Food","4.3","(86)","Islamabad"
"t4kv","Crunchies - F10 Markaz","Fast Food","3.7","(3000+)","Islamabad"
"nbwu","Big City Pizza - F 10","Pizza","3.5","(62)","Islamabad"
"ber2","Bite Dreams","Pasta","3.7","(500+)","Islamabad"
"s9pb","Taimoori Roll Paratha","Pakistani","4.2","(5000+)","Islamabad"
"zpki","Zamo","Beverages","4.1","(100+)","Islamabad"
"f9ky","Pizza Bite","Pizza","3.4","(100+)","Islamabad"
"m5og","Dough With The Flow - F10","Desserts","4.5","(1000+)","Islamabad"
"bkd7","Najeeb Pizza","Pizza","3.6","(2000+)","Islamabad"
"sxw4","Pizzaplex - F 10","Pizza","3.8","(90)","Islamabad"
"p62r","Yumto - The House Of Arabic Mandi- F-10","Pakistani","4","(500+)","Islamabad"
"lw4r","Tandoori Bazaar","Pakistani","3.5","(55)","Islamabad"
"bxda","Red Apple - F10","Ice Cream","4","(2000+)","Islamabad"
"wd6q","Burger Fest- F-10","Burgers","3.4","(80)","Islamabad"
"dfsz","Umai","Fast Food","5","(3)","Islamabad"
"dx1d","Fried Chicken and Burgers by New Yorker","Fast Food","4","(23)","Islamabad"
"s8oc","Dilli Darwaza","Pakistani","4.3","(100+)","Islamabad"
"x94l","Quetta Bethak","Pakistani","3.7","(69)","Islamabad"
"fcpp","Frosty Terrace - F-8","Fast Food","4","(4)","Islamabad"
"s7ex","New Yorker Pizza - F8 Islamabad","Pizza","4","(3000+)","Islamabad"
"t4so","Italian Pizza G-15","Pizza","3.4","(100+)","Islamabad"
"u8uu","Upper Crust","Pizza","4","(1000+)","Islamabad"
"t6bo","KC Grill","Pakistani","3.8","(500+)","Islamabad"
"iac5","Bismillah Fast Food","Fast Food","3.3","(100+)","Islamabad"
"zd7e","Chapple Kabab Point","Pakistani","4.1","(100+)","Islamabad"
"t1pj","Mumtaz Karahi & Bar B Q","Pakistani","4","(100+)","Islamabad"
"r28o","Orient Sichaun Restaurant","Chinese","4.6","(21)","Islamabad"
"y43u","Captain Pizza Chef","Pizza","1","(1)","Islamabad"
"jmqr","Orient Sichuan Restaurant","Chinese","4.5","(14)","Islamabad"
"e4hp","Anatummy","Fast Food","4.2","(100+)","Islamabad"
"ftid","Bablooz","Fast Food","4.3","(1000+)","Islamabad"
"k4fh","Bismillah Tikka & Chargha House F-8","Pakistani","3.4","(100+)","Islamabad"
"gsv4","Howdy - Centaurus Mall","Fast Food","4.3","(86)","Islamabad"
"nscm","Lahori Tikka- F8","Pakistani","4.1","(500+)","Islamabad"
"vfv0","Popcycle - F8","Desserts","5","(7)","Islamabad"
"k5n3","Karachi student Biryani","Pakistani","2.6","(5)","Islamabad"
"oqvd","Habibi Restaurant - F-8","Pakistani","3.7","(100+)","Islamabad"
"zf2c","Orient Cafe","Continental","5","(6)","Islamabad"
"usv3","Refreshment Center F-8","Fast Food","4.2","(100+)","Islamabad"
"uggz","QUICK FOOD","Fast Food","3.5","(100+)","Islamabad"
"hjtu","B.L.T - F8 (Breakfast, Lunch & Tea Time)","Pakistani","3.5","(500+)","Islamabad"
"dtua","China Town - F8","Chinese","4.1","(100+)","Islamabad"
"zb59","New Quetta Shandaar Restaurant","Pakistani","4.4","(100+)","Islamabad"
"u4xg","Khan Baba Bannu Beef Pulao","Pulao","3.8","(500+)","Islamabad"
"exph","Desi Delicacies","Chinese","3.9","(100+)","Islamabad"
"d8qg","Asian Bowl","Chinese","4.3","(100+)","Islamabad"
"i1wd","Crunchies-Centaurus","Fast Food","4.2","(100+)","Islamabad"
"rlaz","Chaaye Khana- Centaurus","Ice Cream","2.7","(20)","Islamabad"
"l8xb","Desi Pakwan - Centaurus","Pakistani","2.7","(13)","Islamabad"
"hkcx","Qatari Shawarma","Fast Food","3.3","(30)","Islamabad"
"y6kh","Shanghai Wok","Chinese","4.2","(4000+)","Islamabad"
"d6ud","Burger Fuel","Chinese","4.1","(100+)","Islamabad"
"s8pp","Hardee's - F7","Fast Food","4.1","(4000+)","Islamabad"
"n6yt","Tajdar-e-Madina Restaurant","Pakistani","4","(500+)","Islamabad"
"n5wt","THE Pasta PEOPLE","Pasta","3.3","(100+)","Islamabad"
"v7aa","Little China","Chinese","3.4","(100+)","Islamabad"
"ppu8","Khaaba by Nauman Masood","Pakistani","3.7","(100+)","Islamabad"
"tkzo","Simply Sufi - F7","Fast Food","4.3","(500+)","Islamabad"
"d614","SMASH'd","Burgers","4.2","(80)","Islamabad"
"qx02","Lieta Gelato","Ice Cream","2.9","(24)","Islamabad"
"t1va","Pizza Kone (Centaurus)","Pizza","4.5","(55)","Islamabad"
"t6zb","English Tea House - Islamabad","Fast Food","4.1","(100+)","Islamabad"
"sct9","Siddique Samosa & Refreshment Centre","Savouries","4.2","(500+)","Islamabad"
"c1kf","MOJOS LOUNGE","Pakistani","2.6","(3)","Islamabad"
"t3ki","Rendezvous Xpress Centaurus","Pasta","4.2","(500+)","Islamabad"
"vji3","Karanchee Biryani & Broast - Centaurus mall","Pasta","3.6","(500+)","Islamabad"
"lkic","Pakistan Naan Center","Pakistani","4.1","(2000+)","Islamabad"
"t392","Kim Mun Restaurant - Centaurus","Chinese","4.3","(1000+)","Islamabad"
"s4gl","Cinnabon - Centaurus","Tea & Coffee","4.4","(500+)","Islamabad"
"bew1","Breakfast By La Terrazza","Continental","3.9","(100+)","Islamabad"
"f8hq","Asian Kitchen","Chinese","4.3","(100+)","Islamabad"
"o9ws","Rio's Pizza & Desserts","Fast Food","3.9","(100+)","Islamabad"
"xnoh","Bundu Khan Islamabad","Pakistani","4.2","(100+)","Islamabad"
"ax36","KitchenKin","Pakistani","2.5","(43)","Islamabad"
"f3f1","GinXpress","Chinese","3.7","(100+)","Islamabad"
"t9hp","Yum Chinese - Islamabad","Chinese","4.3","(100+)","Islamabad"
"n6df","King Corn - Centaurus","0 min","4.5","(100+)","Islamabad"
"v3hz","Texas Chicken - Centaurus Mall","Fast Food","4.2","(4000+)","Islamabad"
"v9jv","China Bowl","Chinese","3.9","(100+)","Islamabad"
"ydtk","Slisoo","Pizza","4.6","(29)","Islamabad"
"v3sb","Som Saa","Chinese","4","(100+)","Islamabad"
"ogw4","Jahangir Balti and BBQ","BBQ","4.1","(100+)","Islamabad"
"u1sk","Green Bae","Beverages","4.4","(500+)","Islamabad"
"yn16","KNEAD IT BAKERY","Cakes & Bakery","4.9","(38)","Islamabad"
"u3uj","Juices Island","Beverages","4.4","(500+)","Islamabad"
"g3hd","O' Brownies","Pasta","4.1","(100+)","Islamabad"
"ljjj","Sando","Fast Food","3.7","(13)","Islamabad"
"ama5","CINQUE","Pasta","4.3","(59)","Islamabad"
"diol","WAKHA RESTAURANT","Fast Food","4.5","(100+)","Islamabad"
"ktd7","FUNGHI E-7","Continental","2.4","(5)","Islamabad"
"ay0u","KARHAI BOYS","Pakistani","2","(8)","Islamabad"
"gugy","Khyber Shinwari Restaurant","Pakistani","4.8","(27)","Islamabad"
"p2uv","Desi Tarka","Pakistani","4.4","(1000+)","Islamabad"
"krhd","Chowmein 1  Chinese Café","Chinese","3.1","(100+)","Islamabad"
"m426","ZIA BALTI & BBQ","Pakistani","4.2","(100+)","Islamabad"
"ogwm","Contra Coffee","Continental","3.8","(18)","Islamabad"
"yv9b","Potato Planet","Fast Food","3.8","(100+)","Islamabad"
"ypwg","THE GRAND WAZWAN","Pakistani","4.2","(500+)","Islamabad"
"nmvc","2 Broke Engineers","Chinese","1.8","(21)","Islamabad"
"u0jd","Street Biryani","0 min","4.2","(100+)","Islamabad"
"vh3v","The Bowl World","Chinese","3.6","(22)","Islamabad"
"xy92","Wood Fire Pizza Company","Pizza","3.8","(59)","Islamabad"
"f1zz","Tandoori Junction","Pakistani","3.7","(17)","Islamabad"
"jcy4","Street Pizza","Pizza","3.6","(22)","Islamabad"
"c45o","The Hujra Cafe F7","Fast Food","3.8","(6)","Islamabad"
"f00m","Capital Lounge","Pasta","3.9","(15)","Islamabad"
"faua","LOCAL - Alfresco Dining","Continental","3.9","(7)","Islamabad"
"v8ke","Steak By CFU","Fast Food","3.9","(100+)","Islamabad"
"jfn2","Kohi Coffees- F-7","Ice Cream","4.7","(59)","Islamabad"
"s7aa","Jessie's","Pasta","4.1","(500+)","Islamabad"
"k6qh","Holly Smoke","Fast Food","3.9","(500+)","Islamabad"
