"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"i1d2","Pizza Way","Pizza","3.5","(24)","Karachi"
"vj9d","KhauSey Town (North)","Pakistani","4.3","(500+)","Karachi"
"xo4m","Hot & Fast","Fast Food","3","(21)","Karachi"
"n5xl","MashAllah BBC Broast","Fast Food","3.9","(4000+)","Karachi"
"ku3a","Shuru Balochi Sajji","Pakistani","4.2","(1000+)","Karachi"
"rvz1","Hijazi Foods","Pizza","4","(100+)","Karachi"
"w0ii","SB Sajji BBQ, Pizza, Chinese & Fast food","Pakistani","4.3","(3000+)","Karachi"
"lq5v","Cafe Fork N Dough","Fast Food","3.8","(88)","Karachi"
"fzuf","Bistro Eatery","Burgers","3.5","(100+)","Karachi"
"j01s","Sangat Restaurant","Fast Food","3.9","(100+)","Karachi"
"tmpa","Warsi Foods","Fast Food","3.9","(100+)","Karachi"
"w3ds","King Burger","Pasta","4","(500+)","Karachi"
"fnkq","Shuru Balochi Fast Food & Chinese","Fast Food","4.2","(1000+)","Karachi"
"t9ek","Pay Say Pizza","Pizza","4.6","(1000+)","Karachi"
"bmvx","Munching Hub","Fast Food","3.1","(10)","Karachi"
"tw5g","Bistro Bites","Pakistani","3.7","(100+)","Karachi"
"zp59","Pizzaplex - North Karachi","Pizza","3.6","(500+)","Karachi"
"je71","Signature Cuisine","Chinese","2.8","(52)","Karachi"
"dmbb","Eat n Feed (Fast Food & Pizza)","Pasta","3.4","(100+)","Karachi"
"fn9g","Hot n Juicy Roll - 4K Chowrangi","Fast Food","3.9","(79)","Karachi"
"cly9","Sarkar Jee Restaurant","Fast Food","4.5","(30)","Karachi"
"oraq","Food Pasand","Pakistani","3.6","(1000+)","Karachi"
"gaz7","Pizza top inn","Fast Food","3.9","(1000+)","Karachi"
"gbfc","Saas Bahu Ka Chatkhara","0 min","3.9","(41)","Karachi"
"c9yj","Burger Top","Pizza","3.8","(3000+)","Karachi"
"u0nr","Hijazi Foods","Healthy Food","4.2","(1000+)","Karachi"
"z0mj","BBC Broast","Fast Food","3.9","(3000+)","Karachi"
"ifnm","MashaAllah Peshawari Ice Cream and Special Faluda","Ice Cream","4.1","(100+)","Karachi"
"ic68","Karachi Halwa puri - North Karachi","Pakistani","4.2","(100+)","Karachi"
"n1ws","Pizza Tycoon","Pasta","4.1","(5000+)","Karachi"
"btiw","Qadri Zaiqa Haleem - North Karachi","Pakistani","4.4","(100+)","Karachi"
"lj4w","Cafe Mughal","Pakistani","3.1","(33)","Karachi"
"f3fu","Lazzat Home Food","Pakistani","3.5","(19)","Karachi"
"opw6","Food In Hassan's","Pakistani","4.1","(88)","Karachi"
"iko1","Pizza bake - North Karachi","Pasta","4.1","(500+)","Karachi"
"w1qx","Pakistan Nihari Sheermal and Pakwan House","Pakistani","4.2","(5000+)","Karachi"
"utik","Feeling Hungry??","Pakistani","1.7","(46)","Karachi"
"cq6a","Arman Burger Point","Fast Food","3.8","(29)","Karachi"
"r6hs","Arooma's","Chinese","2.7","(100+)","Karachi"
"yvsz","Mashallah halwapuri & kachori","Savouries","4.1","(2000+)","Karachi"
"vh92","Pizza O Garlic","Pizza","3.6","(78)","Karachi"
"darc","PIZZA PIE","Pizza","4.1","(25)","Karachi"
"h3gl","Absolute Home Kitchen","Chinese","4","(100+)","Karachi"
"n1zj","Crispy Zinger","Fast Food","4.1","(2000+)","Karachi"
"r2c9","Kaybees - North Karachi","Fast Food","4.3","(1000+)","Karachi"
"ghhz","Delight Ice Cream","Ice Cream","4","(100+)","Karachi"
"j6i2","Qalandri Biryani center","Pakistani","4.4","(2000+)","Karachi"
"nnzu","Fusion The Soda Lab","Beverages","4.7","(100+)","Karachi"
"znfe","Saucy Bites","Fast Food","3.8","(53)","Karachi"
"krwn","Ghousia Food Centre - North Nazimabad","Fast Food","4","(500+)","Karachi"
"oiu4","Pizza Xpress ""The X Factor of Pizza""","Pasta","3.8","(100+)","Karachi"
"w8wq","Al Saeedi Pakwan Centre","Pakistani","3.9","(1000+)","Karachi"
"v7hb","United Queen Food","Pasta","4.1","(10000+)","Karachi"
"v1zf","Nabeel Home Chef","Pakistani","4","(1000+)","Karachi"
"qqjj","Sizzling Grill","Chinese","3.5","(99)","Karachi"
"z0zd","Local Eats","Fast Food","4.7","(2)","Karachi"
"ndnf","M.D Super Burger & Fast Food","Fast Food","3.9","(500+)","Karachi"
"m5r9","Pishawari Ice Cream & Juice Bar (Fast Food)","Beverages","3.3","(36)","Karachi"
"t6ms","Tasty Biryani House","Biryani","4.2","(5000+)","Karachi"
"w3ua","Foodo`Clock","Pakistani","3.8","(500+)","Karachi"
"i86v","Qalandri Biryani & Pakwan Center","Pakistani","4.3","(500+)","Karachi"
"hxig","Nice Bakers & Sweets","Cakes & Bakery","4.5","(2000+)","Karachi"
"u4xp","Shahjee Burger","Burgers","4.2","(2000+)","Karachi"
"jkwi","Baba G Fast Food","Fast Food","3.8","(8)","Karachi"
"sxc0","New Alaska","Fast Food","3.5","(100+)","Karachi"
"wzap","Fay Say Fries","Fast Food","4.3","(99)","Karachi"
"x733","DEL HOME CUISINE","Pakistani","3.7","(66)","Karachi"
"sr88","Panda’s Pantry","Chinese","4","(100+)","Karachi"
"bxm9","Karachi Biryani Center","Pakistani","3.8","(2000+)","Karachi"
"auf3","Crispy Craves Fast Food","Fast Food","3.8","(2)","Karachi"
"h4bt","Al-Rozi Pakwan","Pakistani","3.9","(100+)","Karachi"
"jegk","New Quetta Chaman Chaman Hotel","Pakistani","4.2","(1000+)","Karachi"
"ucdo","Shawaroast","Fast Food","4.1","(500+)","Karachi"
"n6ay","Ajjis Fast Food","Fast Food","3.8","(100+)","Karachi"
"rihx","Mama Shinwari Restaurant","Pakistani","2.5","(7)","Karachi"
"wkxh","Mr & Mrs Kitchen House","Chinese","4","(12)","Karachi"
"byn4","Martabaan (Homechef)","Pakistani","3.8","(14)","Karachi"
"pads","#EAT","Pasta","4","(100+)","Karachi"
"gqw4","Asia Quetta Hotel","Pakistani","4","(1000+)","Karachi"
"ja1c","Jiya’s Kitchen","Pakistani","4","(100+)","Karachi"
"hyv0","Zam Bakes","Continental","3.1","(34)","Karachi"
"swo8","Sheikh's Foods","Fast Food","4","(4)","Karachi"
"n3fo","La Place Du Burger","Pakistani","4.1","(500+)","Karachi"
"jyzz","Desi Chatkara (Homechef)","Pakistani","3.5","(100+)","Karachi"
"iixg","Big City Pizza - North Karachi","Pizza","3.1","(100+)","Karachi"
"yw1z","Delish Star Sweets and Bakers","Cakes & Bakery","4.6","(100+)","Karachi"
"xmb4","Peshawari Ice Cream (North Karachi)","Ice Cream","3.4","(100+)","Karachi"
"alqx","Naan Hut","Pasta","4.1","(100+)","Karachi"
"w3ic","Knead Cafe","Pakistani","4.3","(100+)","Karachi"
"v3le","Al Madina Burger","Burgers","4.5","(5000+)","Karachi"
"hsm9","Kitchen Stories","Fast Food","4.8","(11)","Karachi"
"lkrg","Food Valley","Chinese","3.8","(36)","Karachi"
"v9gt","Fayyaz Sheermal, Nehari & Pakwan House - Nagan Chowrangi","BBQ","4.2","(1000+)","Karachi"
"mmoc","Hunger Night","Pakistani","4.1","(100+)","Karachi"
"qckw","Sohail Turkish Doner","Fast Food","3.4","(100+)","Karachi"
"enhd","Nimra Catering food","Pakistani","2.7","(38)","Karachi"
"u594","AL MADINA FAST FOOD BBQ AND PIZZA - Nagin Chorangi","Pasta","4.3","(5000+)","Karachi"
"f8ta","Maa Ka Khana","Pakistani","3.7","(500+)","Karachi"
"xm4i","Burgeristan","Fast Food","2.2","(25)","Karachi"
"efoi","Dumpling station","Japanese","4.2","(6)","Karachi"
"n0sx","Ghousia Fast Food Bar BQ & Pakwan Centre","Pasta","4.1","(5000+)","Karachi"
"cd5j","New Quetta Jeddah Hotel","Pakistani","5","(1)","Karachi"
"jlip","Karachi Spicy Roll Corner - Bufferzone","Fast Food","2.3","(8)","Karachi"
"vo8l","MASTER PAKWAN AND FOOD CENTRE (New Karachi)","Pakistani","3.6","(1000+)","Karachi"
"mv0p","Moosaji Milkshake","Desserts","4.7","(12)","Karachi"
"wkmc","Food Heaven","Pakistani","3.6","(56)","Karachi"
"w9nw","ARABIC SHAWARMA","Shawarma","4.4","(500+)","Karachi"
"rqmv","Desi Chatkara","Pakistani","4.2","(500+)","Karachi"
"v0tb","Cafe Karachi","Burgers","4","(1000+)","Karachi"
"d6vr","Quetta Chai","Pakistani","4.3","(3000+)","Karachi"
"hgf8","Marvellous Foods","Fast Food","3.7","(100+)","Karachi"
"v5sk","Noorani Ice Cream & Falooda","Ice Cream","4","(89)","Karachi"
"lb50","Fazal Foodz","Fast Food","4.6","(7)","Karachi"
"g0gf","NZ Food","Pakistani","3.7","(2000+)","Karachi"
"s8ta","Al Madina Fast Food - Nagin Chowrangi","Fast Food","4.3","(15000+)","Karachi"
"qt4n","Signature Pizza House And Chinese Food","Pasta","3.7","(100+)","Karachi"
"ncmq","Signature Burgers & Wings","Fast Food","3.9","(2000+)","Karachi"
"sus7","MashaAllah Day Night Hotel","Pakistani","3.8","(100+)","Karachi"
"cumw","Tarka Kitchen","Pakistani","3.5","(62)","Karachi"
"stm1","Gul Shinwari Restaurant","Pakistani","4.4","(500+)","Karachi"
"hmhg","M Iqbal Foods","Pakistani","3.9","(4)","Karachi"
"rt0n","Salt  & Creamy (Homechef)","Pasta","2.9","(97)","Karachi"
"w9kv","Illahi Nihari BBQ & Fast Food Restaurant","Pakistani","4.1","(3000+)","Karachi"
"n0rb","Sareena Juice Bar","Beverages","4.3","(2000+)","Karachi"
"vilo","Barkat Kitchen","Pakistani","4.7","(2000+)","Karachi"
"k5dm","Turk naan","Pizza","3.4","(100+)","Karachi"
"l1cs","Hunger's Home Kitchen (Homechef)","Fast Food","4","(100+)","Karachi"
"w0ib","SHALIMAR BAKERY","Cakes & Bakery","4","(2000+)","Karachi"
"tvg8","The Desi Food","Pakistani","4.5","(20)","Karachi"
"pne9","Ayan Pizza","Pizza","4.1","(15)","Karachi"
"wivb","Fun Fries - North Nazimabad","Fast Food","3.9","(100+)","Karachi"
"vwv3","Khowsey Kitchen","Pakistani","4.3","(1000+)","Karachi"
"n4aw","AA Food Center - Bufferzone","Pasta","4","(10000+)","Karachi"
"a9is","CornPop","Healthy Food","4.4","(56)","Karachi"
"w2yd","Zaiqa Kitchen c","Chinese","4.1","(1000+)","Karachi"
"klzy","SPICE HOT N ROLL","Fast Food","4.4","(100+)","Karachi"
"b8wy","House of Khausa","Pakistani","4","(100+)","Karachi"
"z9gw","Royal Feast","Fast Food","4.8","(20)","Karachi"
"kn4v","Sareena Food Court","Fast Food","4.3","(11)","Karachi"
"uiwq","Minha's Kitchen","Fast Food","4.8","(5)","Karachi"
"h27x","Mateen Food Centre","Pakistani","4.1","(2000+)","Karachi"
"eb1g","Craving Foods","Chinese","2","(84)","Karachi"
"v3un","Al Habib Restaurant","Pakistani","4.4","(10000+)","Karachi"
"y2fd","Naseeb Biryani House","Pakistani","4.2","(32)","Karachi"
"n3lw","Manpasand Golgappy","Pakistani","4.3","(1000+)","Karachi"
"os6c","Pizza Spice","Pizza","4.3","(2)","Karachi"
"xp1v","hygenic kitchen","Pakistani","3.9","(1000+)","Karachi"
"ppf8","Pizzerian","Pizza","4.1","(100+)","Karachi"
"yvde","Sweet Treats","Desserts","4.1","(100+)","Karachi"
"hwp7","OH MY SODA","Beverages","4.3","(500+)","Karachi"
"klxl","Saucy Bites","0 min","3.1","(7)","Karachi"
"n9jy","Lucky fast Food","Fast Food","4","(4000+)","Karachi"
"wll0","Rocket Pizza","Pizza","3.8","(100+)","Karachi"
"nkw6","Backyard Grill","Fast Food","4.2","(1000+)","Karachi"
"p9pg","HavaBite Fast Food (North Nazimabad Block M)","Fast Food","4.5","(1000+)","Karachi"
"yb4v","Juice Corner","0 min","1.4","(35)","Karachi"
"df70","Cafe NaanParatha","Burgers","2.8","(100+)","Karachi"
"n5rp","Super Burger & Fast Food (Buffer Zone)","Pakistani","4.5","(10000+)","Karachi"
"jwha","Mad Fried Chicken - North Nazimabad","Burgers","4.1","(500+)","Karachi"
"it1l","Bismal's Kitchen by Marium (Homechef)","Fast Food","3.9","(55)","Karachi"
"r0wf","HighFry Cafe","Fast Food","3.6","(10)","Karachi"
"s9s5","MASHALLAH Nihari & Sheermal House","Pakistani","4.3","(2000+)","Karachi"
"fxhd","Bismillah Foods","Pakistani","3.2","(500+)","Karachi"
"t1jw","Pizza Studio","Pizza","3.8","(5000+)","Karachi"
"re02","Kiran's Kitchen","Pakistani","4","(1000+)","Karachi"
"v3jc","Haveli Kebab & Grill","Pasta","4.2","(2000+)","Karachi"
"tw6j","Memon Chat House","Pakistani","2.3","(42)","Karachi"
"yeiw","AFIYA KA KITCHEN","Samosa","4.2","(16)","Karachi"
"mbqq","Hungry The Best Food","Chinese","4.3","(500+)","Karachi"
"v1xn","Ilyas Qureshi Biryani","Biryani","3.3","(1000+)","Karachi"
"zmf1","Khana Shana (Homechef)","Fast Food","3.8","(100+)","Karachi"
"r4jd","Burger Oye","Fast Food","3.2","(500+)","Karachi"
"u0on","Hyderi Roll Point","Fast Food","3.2","(100+)","Karachi"
"hpwo","Hej Pirates Soda","Beverages","3","(99)","Karachi"
"t3qy","Burger O'Clock - North Nazimabad","Fast Food","4","(15000+)","Karachi"
"e7ju","Iqbal Gol Gappy & Chat House","Savouries","3.9","(500+)","Karachi"
"npqv","Pizza Valley (North Karachi)","Pizza","2.9","(100+)","Karachi"
"t3ij","Tandoor","Pasta","4.1","(3000+)","Karachi"
"lo3w","Food Galaxy","Chinese","3.6","(100+)","Karachi"
"n7yw","777 Foods","Pakistani","4.7","(100+)","Karachi"
"e5fn","Spicy Hot N Roll","Fast Food","4.2","(1000+)","Karachi"
"vf4e","Atif Pakwan & Biryani Centre-Bufferzone","Pakistani","4","(100+)","Karachi"
"fjtf","PIZZA RUN","Fast Food","4.3","(500+)","Karachi"
"cqxz","Spicy Pizza","Pizza","4","(1000+)","Karachi"
"v3am","Choudhry Mateen","Pakistani","4","(1000+)","Karachi"
"td1w","Food Stadium - 5 Star","Fast Food","3.5","(100+)","Karachi"
"u8at","Zameer Ansari - North Chapter","Pakistani","4.2","(2000+)","Karachi"
"uyxi","Hot N Spicy Pizza (Homechef)","Pizza","4.1","(100+)","Karachi"
"a5qe","Z'roasto","Fast Food","3.2","(40)","Karachi"
"jhy3","Pizza Center","Pizza","3.3","(100+)","Karachi"
"k5aq","Sweet Creme - 5 Star Chowrangi","Desserts","4.6","(100+)","Karachi"
"e4qe","Madiha's Kitchen","Pakistani","4.3","(100+)","Karachi"
"i9zg","Rashid Pakwan & Catering","Pakistani","4.3","(2000+)","Karachi"
"d07j","Let's Pizza","Pakistani","3","(10)","Karachi"
"o9kb","Vip Khana (Homechef)","Casual","3.7","(500+)","Karachi"
"fn63","Fries & Juice World","Beverages","2.8","(15)","Karachi"
"yrvk","CraveFusion Delights","Fast Food","4.8","(17)","Karachi"
"v4qa","Shah Jee Quetta Hotel","Pakistani","4.3","(500+)","Karachi"
"qizp","AR Kachori Samosa House","Savouries","4.4","(100+)","Karachi"
"t8fk","Mr Chaat & Fast Food","Savouries","4.2","(3000+)","Karachi"
"obpk","Tacobay","Burgers","3.7","(500+)","Karachi"
"e8xt","Sana's kitchen","Pakistani","2.9","(100+)","Karachi"
"mrlx","The Waffle Lab","Healthy Food","3.1","(45)","Karachi"
"r2td","The Big Bite","Pakistani","2.2","(2)","Karachi"
"f012","Soda Splash","Beverages","3.8","(51)","Karachi"
"wq5l","Samrat Sweets and Bakers","Cakes & Bakery","3.6","(28)","Karachi"
"exav","Caesar's Pizza - North Nazimabad","Pizza","3.8","(100+)","Karachi"
"l9eq","Al Mutaim Pakwaan","Pakistani","4.1","(24)","Karachi"
"zr2n","Quetta Star Hotel","Beverages","4.4","(2000+)","Karachi"
"v4xu","Delhi Sohail Restaurant - Block L","Pakistani","4.2","(5000+)","Karachi"
"ewet","Nagina Halwa Puri & Burger","Pakistani","3.6","(500+)","Karachi"
"mlfi","Texas Chicken - North Nazimabad","Fast Food","4.2","(2000+)","Karachi"
"v2ox","Ice King - North Nazimabad","Ice Cream","4.6","(2000+)","Karachi"
"o2fj","Tempticious (Homechef)","Ice Cream","3.3","(100+)","Karachi"
"s2pr","Kaybees - North Nazimabad","Pasta","4","(5000+)","Karachi"
"s7da","Karachi Haleem - North Nazimabad","Pakistani","4.4","(10000+)","Karachi"
"juy7","CREAMELLO - North Nazimabad","Ice Cream","4.3","(3000+)","Karachi"
"a0fn","Superger","Fast Food","4.1","(100+)","Karachi"
"g2gk","Bilal Hassan Zai Koyla karahi - Block L North Nazimabad","Pakistani","4.1","(1000+)","Karachi"
"t1wo","Juice Island - Hydri","Beverages","4.1","(1000+)","Karachi"
"w6zo","Tasty Gol Gappay & Chaat","Savouries","4.1","(2000+)","Karachi"
"namp","Shasha's Bunkabab House","Burgers","4.2","(100+)","Karachi"
"u4pd","Dunkin Donuts - North Nazimabad Block H","Desserts","4.1","(5000+)","Karachi"
"silh","Kaukawala Foods (Homechef)","Pakistani","4.9","(25)","Karachi"
"l6dp","Thirsty The Soda Shop - North Nazimabad","Ice Cream","4.6","(100+)","Karachi"
"ado0","Hashim khan of Quetta hotel","Pakistani","4.5","(2000+)","Karachi"
"n8hy","Pizza Y Not","Pizza","2.1","(13)","Karachi"
"rlej","Haji Al-Jameel Pakwan Centre","Pakistani","3.5","(100+)","Karachi"
"n4og","Crown Broast Ice Cream Parlour","Ice Cream","4.3","(1000+)","Karachi"
"ogv7","Peshawari Ice Cream - 5 Star","Ice Cream","4.2","(1000+)","Karachi"
"ea1u","Mullah Burger","Fast Food","4.5","(46)","Karachi"
"wlvh","NEW HYDERI DILPASAND CHAT","Savouries","4.3","(500+)","Karachi"
"v5fn","Khoobast","Pakistani","4.1","(500+)","Karachi"
"tobn","The Waffle Station","Desserts","4.5","(2000+)","Karachi"
"x5fj","The Shake Ville","Pakistani","3.7","(30)","Karachi"
"t4lo","Mamoo Dehli Kabab House","Pakistani","3.7","(1000+)","Karachi"
"s9uq","Hobnob - Hyderi","Cakes & Bakery","4.2","(1000+)","Karachi"
"h363","Sana Danish Foods","Burgers","4.1","(100+)","Karachi"
"zn1b","Kitchen Queen","Pakistani","3.7","(64)","Karachi"
"defw","Brookie House (Homechef)","Pasta","3.4","(100+)","Karachi"
"oyed","The Terrace Cafe","Pakistani","3.9","(10)","Karachi"
"rjdt","Dumplings by Sai's Pantry (Homechef)","0 min","4.1","(500+)","Karachi"
"hjl8","Al Hamza Burger & Fast Food","Burgers","4.4","(1000+)","Karachi"
"jqfm","Jani Biryani - North Walk Mall","Pakistani","3.5","(12)","Karachi"
"u7za","Spicy Grill Fast Food","Fast Food","3.9","(500+)","Karachi"
"gld0","BORI Foods (INTL)","Chinese","3.7","(100+)","Karachi"
"l16a","Meer's Kitchen","Pakistani","4.2","(100+)","Karachi"
"t0nh","AL-Shabbir Haiderabadi Yakhni Pulao And Pakwan Center","Pulao","4.1","(1000+)","Karachi"
"d1oo","Chai.PK-Fb area(Home-Chef) (Homechef)","Pakistani","4.4","(3000+)","Karachi"
"u4aa","Sakhi Laal Fast Food - Samnabad Branch","Fast Food","4.1","(3000+)","Karachi"
"juzi","Desi Tarka","Pakistani","4.4","(500+)","Karachi"
"vebl","Salt Stories","Pakistani","4.1","(65)","Karachi"
"vmv8","Everest Ice Cream (Homechef)","Ice Cream","4.6","(100+)","Karachi"
"s8uj","Ice Treat Ice Cream","Ice Cream","4.1","(1000+)","Karachi"
"a6g5","MAM FOODZ","Pakistani","4.5","(3)","Karachi"
"y7p8","Chow Chow","Chinese","2.6","(18)","Karachi"
"g3d5","Smokey BBQ","Pakistani","3.8","(67)","Karachi"
"ptkm","Tahira's kitchen (Homechef)","Pakistani","4","(100+)","Karachi"
"zh0l","Tasty Momos Kitchen","Pakistani","2.2","(27)","Karachi"
"l63k","Karachi Spice Hub","Pakistani","4.6","(18)","Karachi"
"ux2r","Aebees Burger Craft","Burgers","1.8","(6)","Karachi"
"srtv","Traditional Kitchen","0 min","1","(1)","Karachi"
"iyng","Meerath Famous Kabab Paratha - North Nazimabad","Pakistani","4.3","(3000+)","Karachi"
"v7va","Lazzat Pakwan House","Pakistani","4","(1000+)","Karachi"
"l2sx","Food Nation","Fast Food","3.4","(100+)","Karachi"
"n7ww","Musjab's Kitchen (Homechef)","Pakistani","4.3","(100+)","Karachi"
"jjzg","Zaiqa Kitchen By AK","Pakistani","2.9","(100+)","Karachi"
"zxqw","SR Kitchen","Pakistani","4.5","(5)","Karachi"
"l3in","Super Burger & Fastfood","Burgers","3.7","(500+)","Karachi"
"j52y","Foodie Chatkara","Fast Food","5","(2)","Karachi"
"w9ew","Chowmein Chinese Restaurant","Chinese","4.2","(1000+)","Karachi"
"q62d","Olà Café","Pakistani","3","(33)","Karachi"
"f04u","The Home Aroma","Chinese","4.3","(1000+)","Karachi"
"b4tk","Desi Bites Chicken Shawarma","Fast Food","4.2","(500+)","Karachi"
